報告年度:2024,議題:職業安全衛生,,,,,,
公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
2481,強茂,4,0.27%,係跌倒及撞傷事故,0,0,0
2482,連宇,0,0.00%,,0,0,0
2483,百容,14,2.30%,,0,0,0
2484,希華,0,0.00%,,0,0,0
2485,兆赫,9,0.85%,上下班交通事故 非上下班交通事故 跌倒 物體倒塌、崩塌 被切、割、擦傷,0,0,0.00%
2486,一詮,6,0.73%,物體倒塌、崩塌；被切、割、擦傷；跌倒；與有害物等之接觸；上下班公路交通事故及其他,0,0,0
2488,漢平,0,0.00%,,0,0,0
2489,瑞軒,0,0.00%,,0,0,0
2491,吉祥全,0,0.00%,N/A,0,0,0
2492,華新科,19,0.36%,跌倒、衝撞、物體飛落、被撞、被切/割/擦傷、被夾、被捲、與高溫、低溫之接觸、與有害物之接觸、感電及不當動作,0,0,0
2493,揚博,0,0.00%,,0,0,0
2495,普安,0,0.00%,無，113年度無職業災害發生,1,0,0.00%
2496,卓越,0,0.00%,,0,0,0
2497,怡利電,0,0.00%,,0,0,0
2498,宏達電,2,0.56%,HTC 2024發生2件可記錄職業傷害，分別為夾傷及跌倒；就職業病方面而言，HTC公司的工作環境並非重度污染或有毒作業環境，在2024年內未發生任何因工作性質或場所而導致的職業病危害情況。,0,0,0
2501,國建,1,0.50%,,0,0,0
2504,國產,3,0.46%,,0,0,0
2505,國揚,0,0.00%,,0,0,0
