報告年度:2024,議題:人力發展,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,新進員工年齡分布-新進員工年齡分布,離職員工年齡分布-離職員工年齡分布,高齡員工晉用政策及培訓計畫-高齡員工晉用政策及培訓計畫
1477,聚陽,"1,948","1,742","1,629",8.02%,"1,443",4.49%,77.00%,30 歲以下： 是佔比最高的年齡層，各國中以 印尼（14.63%） 與 越南（7.37%） 表現最為顯著。 台灣、柬埔寨、菲律賓等地也有明顯的年輕員工補充。  30–50 歲： 為次大年齡層，佔比略低於30歲以下。 越南（7.48%）、柬埔寨（5.41%）及印尼（3.95%）招募中壯年人力的比例相對較高。  50 歲以上： 所佔比例極低，整體不足 1%。  詳情請參閱永續報告書,1.台灣：以30–50歲女性為主（4.06%） 2.越南：女性30–50歲與30歲以下為主要離職群體 3.柬埔寨：女性30–50歲佔比較高（14.95%） 4.印尼：男女30歲以下員工離職率均偏高 5.菲律賓：30–50歲女性為主要離職群體 6.中國：明顯可見50歲以上女性離職佔比相對高（4.87%） 詳情請參閱永續報告書,
1503,士電,"1,314","1,165","1,080",5.47%,892,5.94%,10.00%,,,
1504,東元,"1,009",843,999,8.59%,793,6.02%,21.30%,,,
1506,正道,599,480,539,-4.09%,492,-3.15%,27.30%,,,
1512,瑞利,810,695,567,-3.08%,472,-6.16%,11.11%,,,
1513,中興電,"1,111",932,942,3.86%,828,7.12%,16.60%,,,
1514,亞力,"1,147",972,977,3.61%,846,4.57%,10.48%,29歲(含)以下：57人 30 - 50歲：49人 51歲(含)以上：3人,29歲(含)以下：43人 30 - 50歲：35人 51歲(含)以上：17人,針對面臨屆齡退休同仁，部門主管考量職務需求並了解個人的退休規劃，評估提供繼續僱用方案留任公司服務，使其可持續發揮所長。對於有意離職同仁進行離職前訪談，了解同仁內部轉任意願、離職後規劃；如為非自願離職者，事前解說資遣費計算方式及失業給付請領方式，盡力協助員工過渡到無工作的生活狀態。
1515,力山,743,645,525,0.19%,431,-0.69%,17.65%,未滿30歲：80人 30-50歲：73人 51歲以上：5人 合計新進人數：158人 員工總人數：767人 總新進率(%)：20.60%,未滿30歲：136人 30-50歲：137人 51歲以上：30人 合計離職人數：303人 員工總人數：767人 總離職率(%)：39.50%,雖公司目前尚未訂定專屬的「高齡員工晉用政策」，但在員工訓練與發展方面，所有員工（包含高齡員工）皆依公司「力山學院」年度課程規劃進行訓練，不因年齡有所區隔。課程內容涵蓋專業課程、管理課程、安全衛生、人權課程、資安課程等等，公司致力提供平等的學習與成長機會。
1516,川飛,"1,550","1,346",689,-28.97%,689,-20.07%,25.00%,,,
1517,利奇,530,431,453,14.68%,409,18.55%,3.51%,,,
1519,華城,"1,872","1,696","1,727",11.71%,"1,159",4.13%,12.77%,2024年新進員工總人數302人。21-30歲佔51%、31-40歲佔36%、41-50歲佔11%、51歲以上佔2%。 ,2024年離職員工(含退休)總人數60人。21-30歲佔33%、31-40歲佔40%、41-50歲佔18%，51歲以上5%。 ,1.支持僱用中高齡人士就業，每年至少雇用10人以上。 2.每季辦理一次軟性課程（如心理建議講座）。 3.每年透過公平且透明的績效考核作業，全面盤點所有高齡員工工作狀況，並藉由與員工面對面深度對談了解同仁工作需求及期望，最大化對齊公司發展策略方向。
1521,大億,723,579,603,-6.07%,541,-7.52%,8.24%,36,39.8,
1522,堤維西,781,641,656,6.15%,585,4.09%,23.00%,,,
1524,耿鼎,807,680,689,8.85%,594,8.99%,10.16%,,,
1525,江申,769,638,664,3.11%,613,4.07%,9.00%,,,
1526,日馳,755,628,584,7.35%,460,14.71%,20.00%,,,
1527,鑽全,766,660,645,11.98%,568,20.59%,5.08%,未滿30歲有87人，占整體比例12.64% 30歲以上未滿50歲有50人，占整體比例7.27% 50歲以上有1人，占整體比例0.15%,未滿30歲有28人，占整體比例4.07% 30歲以上未滿50歲有51人，占整體比例7.41% 50歲以上有9人，占整體比例1.31%,
1528,恩德,851,740,665,-6.34%,580,-4.61%,3.07%,,,
1529,樂事綠能,651,543,528,9.09%,506,9.76%,34.48%,,,
1530,亞崴,876,742,693,6.78%,638,4.93%,15.24%,21~30歲22%，31~40歲50%，41~50歲28%,21~30歲22%，31~40歲36%，41~50歲22%，51歲以上20%,
1531,高林股,"1,102",939,792,5.88%,712,3.64%,45.00%,,,
1532,勤美,"1,019",873,802,3.48%,645,5.74%,18.18%,,,
1533,車王電,709,577,589,4.06%,514,6.64%,33.64%,新進員工年齡分布為24-53歲，40歲以上佔比28.57%。,離職員工年齡分布21-67歲，40歲以上佔比33.85%。,鼓勵45歲以上具有專業技術能力或二度就業意願的中高齡人才加入各相關領域工作團隊，提供適性之就職與發展機會；2024年聘任之40歲以上人才數約佔該年度新進員工人數的28.57%。
1535,中宇,"1,302","1,139","1,160",2.20%,"1,091",5.00%,9.09%,年齡          人數 21~30      10 31~40      14 41~50        3 60以上      2,年齡          人數 21~30       2 30~40       8 41~50       7 50~60       1,無。
1536,和大,750,615,593,-2.31%,576,-1.03%,10.00%,,,
1537,廣隆,"1,408","1,238",861,9.82%,695,8.42%,35.48%,,,
1538,正峰,"1,147","1,018",702,18.18%,400,-8.47%,53.33%,,,
1539,巨庭,642,526,498,8.03%,445,8.80%,26.00%,,,
1540,喬福,767,636,625,4.17%,588,3.34%,0.00%,否,,
1541,錩泰,580,474,500,3.09%,428,3.63%,4.30%,,,
1558,伸興,"1,121",971,755,-8.04%,703,-4.87%,49.00%,,,
1560,中砂,"1,095",884,855,5.69%,782,5.68%,5.83%,,,
1563,巧新,764,632,604,,568,,21.62%,30歲以下 41.47% 30歲~50歲 58.53%,30歲以下 31.2% 30歲~50歲 64.62% 51歲以上4.18%,
1568,倉佑,746,612,595,-0.34%,540,-0.74%,26.32%,,,
1582,信錦,"1,647","1,467","1,225",12.28%,"1,107",12.50%,15.22%,,,
1583,程泰,930,768,781,8.32%,714,6.25%,20.00%,20-29歲31%、30-39歲23%、40-49歲28%、50歲(含)以上18%,20-29歲21%、30-39歲38%、40-49歲25%、50歲(含)以上16%,對高齡員工晉用政策包括提供健康與安全保障及良好的休假制度，並且在工作內容與環境上進行適當的調整，讓高齡員工能夠在體力負擔較小的情況下，充分發揮其專業技能與領域經驗。此外，我們積極設計針對高齡員工的職能再培訓計畫，包括數位技能提升、知識傳承及生涯規劃，確保他們能夠跟上時代的步伐，並在工作中保持持久的動力與活力。
1587,吉茂,778,662,498,6.18%,450,2.51%,21.43%,30歲以下佔32%，30~50歲佔7%，50歲以上佔0%。 新進率=（當年度該年齡區間之新進員工總數 ／ 當年度該年齡區間年底員工總數）*100％,30歲以下佔18%，30~50歲佔16%，50歲以上佔5%。 離職率=（當年度該年齡區間之離職員工總數 ／ 當年度該年齡區間年底員工總數）*100％,
1589,永冠-KY,N/A,N/A,N/A,,N/A,,17.65%,,,
1590,亞德客-KY,N/A,N/A,N/A,,N/A,,9.66%,,,
1597,直得,820,691,617,11.57%,537,16.99%,36.36%,,,
1598,岱宇,637,530,555,3.16%,485,2.97%,28.57%,29歲以下13個，30-49歲63個，50歲以上6個,29歲以下12個，30-49歲45個，50歲以上9個,"配合公司發展及員工職能需求，公司安排年度專業訓練，協助達成工作目標、激發潛能。  年度部門內訓 由人資部與各主管確認年度需求，指定年度部門訓練計畫。  外部訓練 針對專業人員的知識及技術訓練，由部門提出研習需求，公司核定後提供公假進修方式，讓人員學習最新知識與技術。  內部訓練 於公司內部開課，聘請合適專業講師教授相關課程，包含消防演習、職場健康、生產作業等。  2024年岱宇國際提供104堂的內部及外部受訓課程，2024年總訓練時數為7,976.5小時，總訓練人次達3,218人。岱宇國際重視生產流程及員工職業安全，針對特別技術員工，每季安排員工受訓，內容涵蓋製程專業課程、勞安、職業安全等，確保安全標準及符合認證。為維持教育訓練品質與達成訓練目的，公司於課後提供教育訓練心得表，除提供員工自我檢視，也有利於公司未來訓練課程安排之依據。"
1603,華電,771,663,608,4.65%,521,2.16%,32.61%,,,
1604,聲寶,"1,069",892,850,3.16%,763,2.55%,9.87%,30歲以下:80人 30~50歲:129人 51歲以上:20人,30歲以下:47人 30~50歲:73人 51歲以上:71人,
1605,華新,"1,230","1,103","1,112",1.65%,921,3.60%,19.50%,30歲(含)以下35.8% ; 31-40歲17.5% ; 41-50歲 7.2% ; 51歲(含)以上4.2%,30歲(含)以下28.9% ; 31-40歲16.1% ; 41-50歲 8.8% ; 51歲(含)以上10.8%,華新麗華秉持「以人為本」的人才理念，重視中高齡及退休員工的專業價值，並視其為公司持續發展的重要資產。為促進世代共融與知識傳承，公司推動退休員工反聘機制，透過經驗智慧與新世代數位能力的結合，轉化為推動創新與提升競爭力的關鍵動能。同時，本公司亦致力於建構跨世代合作模式，營造尊重、包容與支持的工作環境，讓不同年齡層的員工皆能發揮所長。此舉不僅展現華新麗華對員工全生命週期的關懷，也呼應人才永續發展的目標，進一步落實企業社會責任，持續創造對員工及社會的共好價值。
1608,華榮,936,780,827,6.16%,800,5.68%,19.04%,,,
1609,大亞,"1,577","1,397","1,002",-22.92%,947,-20.15%,18.90%,29歲以下(含): 36 30~49歲: 39 50歲以上(含): 11,29歲以下(含): 17 30~49歲: 42  50歲以上(含): 19,本公司制定員工職涯計畫，每年依據事業營運策略、經營方向及未來前瞻性發展，對各級主管與同仁規劃完整的教育訓練，包含新人訓練、專業訓練、在職訓練、職位到職訓練、主管訓練等
1611,中電,825,713,531,14.94%,531,14.94%,0.00%,,,
1612,宏泰,"1,316","1,161","1,230",18.50%,961,3.11%,21.28%,,,
1614,三洋電,528,414,580,1.05%,543,-1.63%,1.73%,未滿30歲：男性54人，占比33.75%；女性4人，占比23.53% 30歲至50歲：男性19人，占比7.01%；女性5人，占比6.10% 51歲以上：0人 (合計82人、員工總人數805人；總新進率10.19%),未滿30歲：男性32人，占比20%；女性4人，占比23.53% 30歲至50歲：男性22人，占比8.12%；女性5人，占比6.10% 51歲以上：男性13人，占比6.60%；女性3人，占比3.85% (合計79人、員工總人數805人；總離職率9.81%),"▋人力發展與培訓 台灣三洋致力提供員工培訓和教育訓練機會，藉以提高員工技能與專業知識，包括定期舉辦內部培訓課程、外部培訓課程和研討會，以及提供專業認證和學習資源，如成立「中高齡學習網站專區」提供數位化教學。公司提供內部晉升和職業發展機會，鼓勵員工制定個人職涯發展計劃，讓員工能夠在組織內部不斷成長與進步。此外，台灣三洋因疫情關係於2022年導入線上課程(HAHOW企業平台)，提供可使用帳號共十組給予各部門登入觀看，兩年間持續推廣並安排相關人員上課，2024年自願上課人數增加，獲得公司員工正面迴響。 台灣三洋中高齡員工逾20%，公司針對屆退人員減輕職務量，利用一年時間培訓新任主管銜接，讓屆退主管退居幕後，從主導角色轉為輔佐與技術傳承的顧問角色。本公司亦針對符合退休資格員工申請退休後，依其意願重新回聘，截至2024年的正式員工有127人為退休回聘人員，其中25人為65歲以上繼續聘用人員。 2024年員工教育訓練總時數共計4,734小時，本公司依據年度教育訓練計畫共舉辦61次教育訓練，其中內部訓練占66%， 外部訓練約占34%；教育訓練費用約88.4仟元。2024年全體員工平均訓練時數為5.9小時/人。"
1615,大山,974,827,752,8.83%,689,11.13%,30.77%,,,
1616,億泰,"1,006",864,752,7.89%,643,3.71%,17.50%,,,
1617,榮星,801,677,636,1.76%,577,2.49%,8.55%,,,
1618,合機,"1,101",946,898,13.10%,802,12.48%,8.76%,本年度新進員工共17人，30歲以下9人、31-50歲6人、51歲以上2人。,本年度離職員工共17人，30歲以下6人、31-50歲7人、51歲以上4人。,
1626,艾美特-KY,N/A,N/A,N/A,,N/A,,0.72%,,,
1702,南僑,"4,478","4,124","1,278",7.85%,943,9.52%,37.66%,,,
1707,葡萄王,"1,039",900,845,0.00%,769,4.48%,43.76%,,,
1708,東鹼,"1,433","1,261","1,073",49.03%,919,41.38%,45.45%,,,
1709,和益,"2,196","1,954","1,691",43.91%,"1,556",46.38%,14.28%,,,
1710,東聯,"1,333",998,"1,067",3.59%,994,1.74%,6.82%,總新進人數： 31人 男性員工：總人數24人，29歲(含）以下：12人； 30~50歲 ：12人 女性員工：總人數7人，  29歲(含）以下：3人  ； 30~50歲 ：4人,總離職人數：41人 男性員工：總人數37人，29歲(含）以下：13人； 30~50歲 ：15人 ；51歲(含)以上：9人 女性員工：總人數7人，  29歲(含）以下：3人  ； 30~50歲 ：4人,因應勞動力結構變化與政策導向，本公司將逐步規劃高齡員工之相關措施，強化人力多元運用。
1711,永光,867,722,725,0.97%,693,1.61%,16.00%,2024年，永光化學全集團共計277名新進員工，其中30歲以下員工的新進員工占比最高(44%)。30-50歲員工的新進占比(9%)，而51歲以上員工新進率3%，,2024年，永光化學全集團共計269名離職員工，其中30歲以下員工的離職率35%，30-50歲員工的離職占比11%，而51歲以上員工離職率8%。,無
1712,興農,893,760,767,1.99%,688,3.30%,25.62%,30歲以下:33人 30-50歲:44人 50歲以上:3人,30歲以下:27人 30-50歲:40人 50歲以上:15人,建立友善高齡的職場，本公司鼓勵屆齡65歲的員工持續服務，發揮所長與繼續自我實現，延續職場生涯。2024年繼續僱用屆齡65歲員工共22人。
1713,國化,"2,042","1,886",892,6.44%,855,7.82%,33.33%,1位:年齡分布在20歲~30歲,共計2位: 1位:年齡分布在20歲~30歲 1位:年齡分布在31歲~50歲 ,1.本公司晉用及續聘高齡員工，皆係原任職本公司之人員，具豐富工作經驗，本公司並擬有定期訓練計劃，與目前正職員工訓練一併辦理。 2.為確保高齡員工權益，皆遵循勞動部之相關規定辦理。 
1714,和桐,"1,005",840,829,6.15%,687,6.84%,28.57%,,,
1717,長興,"1,173",971,968,6.26%,844,6.03%,16.54%,2024年集團總共進用402人，30歲以下的新進同仁共計183人；30歲至50歲的新進同仁共計212人，50歲以上共計7人。,2024年集團離職人數共357人，30歲以下的新進同仁共計130人；30歲至50歲的新進同仁共計206人，50歲以上共計21人。, 長興公司承諾遵守社會企業責任相關國際規範及國內勞動相關法令，從不以年齡為由予以歧視或禮遇，另為充分表達對維護人權的決心，長興公司遵循『國際人權法典』及國際勞工組織『勞動基準保障核心條約』等國際公認之人權標準，揭示「長興公司人權政策」，並公開揭露於公司網站。 長興公司培育方式不分年齡，為全體同仁規劃符合個人職責之各階層訓練體系，針對核心職能、管理職能、專業職能及自我發展的領域設定不同的訓練課程與發展方式。各階層同仁皆依訓練發展途徑，進行訓練與發展。依對象區分為三類:1.新進人員、2.主管人員、3.全體同仁(專業職能)。公司推動專業職能發展，台灣地區由各單位展開建立各職務職涯發展藍圖，並逐年持續累積內部各部門自製專業職能教材，透過專業職能的建立併同做中學及自我學習的方式，使得各職務人才能力可由基層紮根。
1718,中纖,843,670,655,0.15%,611,0.49%,2.04%,,,
1720,生達,"1,010",853,898,2.16%,771,1.45%,30.56%,,,
1721,三晃,858,697,734,3.53%,694,2.81%,9.00%,2024年新進員工總計45人，29歲以下共19人，30-49歲共24人，50歲以上共2人。,2024年離職員工總計71人，29歲以下共7人，30-49歲共53人，50歲以上共11人。,無
1722,台肥,"1,514","1,305","1,339",-11.56%,"1,187",-12.20%,17.00%,,,
1723,中碳,"1,837","1,606","1,537",4.56%,"1,432",4.68%,11.36%,,,
1725,元禎,"1,005",811,788,10.06%,692,11.08%,13.33%,,,
1726,永記,969,832,810,4.11%,737,3.66%,8.00%,,,
1727,中華化,868,724,710,16.20%,651,12.82%,12.77%,,,
1730,花仙子,"1,330","1,120",954,6.12%,823,0.73%,50.00%,,,
1731,美吾華,"1,022",879,754,4.58%,668,8.79%,57.45%,,,
1732,毛寶,696,589,554,5.73%,469,4.22%,43.00%,,,
1733,五鼎,731,601,630,7.33%,522,13.73%,40.00%,,,
1734,杏輝,854,674,643,0.47%,561,5.45%,43.30%,30歲以下：61人；31-40歲：32人；41-50歲：24人；51-60歲：7人；61-65歲：1人,30歲以下：56人；31-40歲：44人；41-50歲：17人；51-60歲：17人；61-65歲：5人,有鑑於少子化缺工問題日益嚴重，配合勞動部中高齡及高齡就業法施行，鼓勵中高齡晉用及婦女重返職場推動，公司申請施行友善職場措施，包含「婦女再就業工時調整」、「職務再設計」及「壯士代就業促進」等方案。
1735,日勝化,"1,087",929,880,11.68%,784,11.52%,30.38%,30歲以下:男4女2共6人 31~50歲:男25女2共27人 51歲以上:男0女0共0人,30歲以下:男0女1共1人 31~50歲:男19女1共20人 51歲以上:男5女0共5人,平等對待各年齡呈面試者。
1736,喬山,988,842,788,9.60%,638,6.51%,20.53%,,,
1737,臺鹽,"1,219","1,034","1,048",3.56%,954,3.25%,30.95%,,,
1752,南光,753,632,623,7.60%,550,8.70%,30.61%,2024年新進人數共96人，包含男性有52人，女性44人，其中30歲以下之男性25位；女性27位，30歲至50歲男性26位；女性17位，50歲以上之男性1位。,2024年離職人數共96人，包含男性有49人，女性47人，其中30歲以下之男性23位；女性28位，30歲至50歲男性24位；女性18位，50歲以上之男性2位；女性1位。,本公司積極推動高齡員工晉用與發展機制，營造友善職場環境： <互為導師制度> 公司推動「互為導師計畫」，鼓勵跨世代知識傳承與學習。年輕員工協助資深同仁熟悉新導入的資訊系統與作業流程，資深同仁則分享實務經驗與專業判斷，形成雙向學習、共同成長的組織文化。 <退休員工回聘機制> 針對具備關鍵技術與經驗的退休同仁，公司提供彈性再聘任機會，協助專案顧問指導、經驗傳承及訓練新進人員，確保技術知識持續累積並有效應用。 <友善職場活動> 為促進跨世代理解與溝通，公司舉辦「跨世代溝通」、「員工關懷活動」、「職場霸凌防治宣導」等，提升員工心理安全感與整體職場幸福感，打造尊重、包容、多元的工作環境。 本公司將持續強化高齡人力資源的應用與支持，實踐企業對社會共融與永續發展的承諾。
1760,寶齡富錦,998,840,785,5.80%,645,7.86%,40.30%,30歲以下28人  30~50歲61人 50歲以上8人 ,30歲以下21人  30~50歲60人 50歲以上9人 ,公司支持多元與平等就業，歡迎高齡求職者應徵相關職務，並依個人經驗與能力安排合適職務。 透過教育訓練配合外部環境、公司經營方針、部門績效目標及員工職涯發展需求，構建全方位教育訓練體系， 提供全方位人才所需要的培訓課程。 
1762,中化生,892,717,699,-18.82%,648,-14.51%,22.22%,2024年新進員工年齡分布: 30至50歲(100%),2024年離職員工年齡分布: 30歲以下(41.2%) 30至50歲(45.1%) 50歲以上(13.7%),
1773,勝一,"1,397","1,218","1,063",4.83%,946,8.74%,7.69%,30歲以下  14人 31~50歲  13人 51歲以上  3人,30歲以下  8人 31~50歲  19人 51歲以上  7人,
1776,展宇,946,800,666,7.07%,624,25.30%,33.33%,,,
1783,和康生,928,794,813,5.04%,670,10.38%,47.06%,,,
1786,科妍,"1,181","1,008",753,5.31%,685,11.20%,32.00%,,,
1789,神隆,"1,083",915,885,3.75%,829,6.28%,35.05%,,,
1795,美時,"1,695","1,051","1,103",-3.50%,815,-2.98%,40.44%,,,
1802,台玻,778,658,682,11.26%,647,10.98%,27.90%,,,
1805,寶徠,"1,591","1,385",840,18.98%,780,15.56%,36.84%,,,
1806,冠軍,766,604,648,-4.00%,588,-2.49%,21.43%,,,
1808,潤隆,"1,864","1,068",878,-17.71%,783,-17.32%,23.33%,30歲以下者6人約占6.25%；30至50歲者20人約占20.83%；51歲以上者4人約占4.17%,30歲以下者9人約占9.38%；30至50歲者17人約占17.71%；51歲以上者6人約占6.25%,無
1809,中釉,882,758,749,4.03%,642,3.22%,12.00%,本司新進員工年齡分布說明： 2023年度： (1) 30歲以下：男性1人，新進率7.00%；女性0人，新進率0.00% (2) 30~50歲：男性７人，新進率47.00%；女性4人，新進率27.00% (3)51歲以上：男性３人，新進率20.00%；女性0人，新進率0.00% 2024年度： (1) 30歲以下：男性7人，新進率2.75%；女性6人，新進率2.35% (2) 30~50歲：男性13人，新進率5.10%；女性8人，新進率3.14% (3)51歲以上：男性３人，新進率1.18%；女性1人，新進率0.39%,  本司離職員工年齡分布說明： 2023年度： (1) 30歲以下：男性3人，離職率14.00%；女性1人，離職率5.00% (2) 30~50歲：男性4人，離職率19.00%；女性1人，離職率5.00% (3)51歲以上：男性8人，離職率38.00%；女性4人，離職率19.00% 2024年度： (1) 30歲以下：男性3人，離職率1.18%；女性0人，離職率0.00% (2) 30~50歲：男性7人，離職率2.75%；女性7人，離職率2.75% (3)51歲以上：男性5人，離職率1.96%；女性2人，離職率0.78%,
1810,和成,719,608,598,2.40%,525,3.35%,14.67%,"年齡	未滿30	總數:58	人比例:46.77%   30以上未滿50	總數:37人比例:29.84%  	50以上	總數:29人比率:	23.39% ","年齡	未滿30	總數:34	人比例:23.29%   30以上未滿50	總數:57人比例:39.04% 	 	50以上	總數:55人比率:	37.67% ",因應人口結構變遷及確保組織永續發展，本公司積極推動高齡人才活化與留任，有助於深化組織內部經驗傳承，鞏固人力資本，更強化企業社會責任與營運韌性。
1817,凱撒衛,"1,019",826,810,7.00%,687,8.53%,20.00%,,,
1903,士紙,845,700,600,7.14%,576,8.47%,23.91%,,,
1904,正隆,"1,006",862,845,0.12%,793,0.89%,28.22%,30歲以下，男性152人(占比29.8%)、女性36人(占比51.4%)；31~45歲，男性123人(占比9.1%)、女性18人(占比11.5%)；46~60歲，男性16人(占比1.5%)、女性2人(占比0.8%)；超過60歲，男性4人(占比1.9%)、女性0人(占比0%)。  註：台灣地區，比例計算方式為(該年齡層新進員工數／該年齡層員工數),30歲以下，男性98人(占比19.2%)、女性20人(占比28.6%)；31~45歲，男性129人(占比9.6%)、女性18人(占比11.5%)；46~60歲，男性73人(占比6.8%)、女性6人(占比2.5%)；超過60歲，男性44人(占比20.9%)、女性2人(占比11.1%)。  註：台灣地區，比例計算方式為(該年齡層離職員工數／該年齡層員工數)，包含退休人員,回聘資深人才，延續經驗應對高齡化挑戰 面對台灣邁入高齡化社會與產業普遍面臨缺工挑戰，正隆積極打造尊重經驗、延續專業的職場文化。公司重視資深員工累積的知識與技能，鼓勵優秀同仁屆齡後持續貢獻。2024年台灣地區共有17位同仁屆滿退休年齡，自2018年至今，已回聘9位退休同仁簽訂短期顧問合約，協助知識傳承與技術支援，展現正隆以人為本的人才策略，並穩健因應勞動市場變化。
