報告年度:2023,議題:人力發展,,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1808,潤隆,"1,501","1,156","1,067",947,25.81%,0,0.00%,,0,0,0
1809,中釉,811,686,720,622,12.90%,0,0.00%,,0,0,0
1810,和成,696,601,584,508,12.92%,0,0.00%,無,0,0,0
1817,凱撒衛,922,769,757,633,25.00%,1,0.56%,112年僅發生一次交通事故車禍職災.,0,0,0
1903,士紙,828,677,560,531,23.21%,0,0.00%,N/A,0,0,0
1904,正隆,"1,015",868,844,786,6.76%,14,0.38%,,0,0,0
1905,華紙,926,776,727,673,12.35%,21,0.73%,捲夾，墜落/跌倒，灼燙傷，觸電，割/擦傷，扭傷，噪音，物體墜落，被撞，壓傷，人因工程，刺傷，化學品噴濺，滑倒,0,0,0
1906,寶隆,"1,557","1,270",734,805,7.00%,0,0.00%,,0,0,0
1907,永豐餘,"2,593","2,380",775,691,20.00%,36,0.40%,2023年本公司職業傷害的主要類型為：被夾、被捲。,0,0,0
1909,榮成,951,812,751,721,1.30%,3,0.32%,,0,0,0
2002,中鋼,"1,548","1,294","1,240","1,156",2.43%,8,0.08%,墜落/跌倒、捲入、感電、割擦傷、灼燙傷、其他,5,0,0.00%
2006,東和鋼鐵,"1,246","1,098","1,136","1,073",10.67%,11,0.53%,墜落/跌倒類4件、碰撞類1件、物體飛落、倒塌類2件、機械性傷害3件、其他類1件。,1,0,0.00%
2007,燁興,802,590,625,588,6.60%,2,0.44%,,0,0,0
2008,高興昌,695,568,550,480,8.33%,0,0.00%,,0,0,0
2009,第一銅,663,535,548,524,2.22%,9,3.98%,,1,0,0.00%
2010,春源,833,675,717,623,1.55%,23,1.66%,,0,0,0
2012,春雨,690,592,664,538,20.69%,3,0.60%,本廠職業災害類別，彙整112年度發生的職業災害共計3件，均屬輕微傷害，經本廠廠護初步處理後均可恢復正常工作。捲夾傷2件，噴濺1件。 ,0,0,0
2013,中鋼構,"1,970","1,735","1,679","1,502",1.92%,4,0.86%,,0,0,0
2014,中鴻,"1,116",849,830,796,4.27%,2,0.18%,,0,0,0
2015,豐興,"1,230","1,043","1,015",928,28.57%,11,1.15%,,0,0,0
2017,官田鋼,600,487,506,440,28.57%,9,3.09%,,0,0,0
