"報告年度:2022","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開)","員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開)","非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)","非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)","管理職女性主管占比-管理職女性主管占比","職業災害人數及比率-人數","職業災害人數及比率-比率"
"=""2408""","南亞科","1748","1575","1581","1350","34.44%","0","0.00%"
"=""2409""","友達","1278","1067","1044","791","28.20%","2","0.01%"
"=""2412""","中華電","1724","913","1548","1510","21.51%","36","0.18%"
"=""2413""","環科","681","585","558","497","20.00%","4","0.51%"
"=""2414""","精技","1141","979","896","809","21.31%","1","0.26%"
"=""2415""","錩新","1445","1191","1005","904","60.00%","0","0.00%"
"=""2417""","圓剛","1361","1185","1115","1085","19.50%","0","0.00%"
"=""2419""","仲琦","1826","1614","1571","1395","23.00%","0","0.00%"
"=""2420""","新巨","823","714","593","476","32.00%","0","0.00%"
"=""2421""","建準","1227","1023","1026","843","46.00%","0","0.00%"
"=""2423""","固緯","1232","1067","973","876","20.28%","0","0.00%"
"=""2424""","隴華","861","735","691","642","25.00%","0","0.00%"
"=""2425""","承啟","1669","1378","658","720","44.00%","0","0.00%"
"=""2426""","鼎元","692","550","562","497","24.56%","7","0.96%"
"=""2427""","三商電","989","851","765","710","17.00%","0","0.00%"
"=""2428""","興勤","972","822","758","560","47.00%","0","0.00%"
"=""2429""","銘旺科","608","496","458","321","7.14%","0","0.00%"
"=""2430""","燦坤","618","493","675","628","10.00%","36","1.51%"
"=""2431""","聯昌","1206","1010","920","764","0.00%","0","0.00%"
"=""2432""","倚天酷碁-創","","","","","20.00%","1","0.02%"
"=""2433""","互盛電","823","609","726","649","4.00%","0","0.00%"
"=""2434""","統懋","693","568","557","492","3.85%","0","0.00%"
