報告年度:2022,議題:溫室氣體排放,,,,,,,,,,,
公司代號,公司名稱,直接(範疇一)溫室氣體排放量-數據(公噸CO₂e),直接(範疇一)溫室氣體排放量-資料邊界,直接(範疇一)溫室氣體排放量-確信範圍,能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e),能源間接(範疇二)溫室氣體排放量-資料邊界,能源間接(範疇二)溫室氣體排放量-確信範圍,其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e),其他間接(範疇三)溫室氣體排放量-資料邊界,其他間接(範疇三)溫室氣體排放量-確信範圍,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1526,日馳,152.71,母公司,,975.7,母公司,,無，無統計相關數據,,,0.4625,新台幣仟元為單位                                                                                                                                                                                        
1527,鑽全,15275.6541,全公司,ISO 14064,8539.204,全公司,ISO 14064,43677.4634,全公司,ISO 14064,0.0061,千元營業額                                                                                                                                                                                              
1528,恩德,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1529,樂事綠能,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1530,亞崴,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1531,高林股,470.537,總公司.桃園廠及高銀廠,ISO 14064,5518.1216,總公司.桃園廠及高銀廠,ISO 14064,61.8677,總公司.桃園廠及高銀廠,ISO 14064,無，無統計相關數據,
1532,勤美,3499.22,勤美股份有限公司金屬成型事業處,,16044.2373,勤美股份有限公司金屬成型事業處,,22773.0835,勤美股份有限公司金屬成型事業處,,1.2031,產品
1533,車王電,79.6804,母公司,ISO 14064,1619.9194,母公司,ISO 14064,281.5445,母公司,ISO 14064,0.0001,千元營業額                                                                                                                                                                                              
1535,中宇,220.2124,包含合併財務報表之母子公司,ISO 14064,312.4142,包含合併財務報表之母子公司,ISO 14064,3100.8078,包含合併財務報表之母子公司,ISO 14064,0.0602,百萬元營業額
1536,和大,2722.426,僅母公司,ISO 14064,44735.972,僅母公司,ISO 14064,1449.006,僅母公司,ISO 14064,7.77,百萬元營業額
1537,廣隆,8024.1,包含合併財務報表之母子公司,,71621.8,包含合併財務報表之母子公司,,無，無統計相關數據,,,無，無統計相關數據,
1538,正峰,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1539,巨庭,175.5939,母公司,ISO 14064,773.6629,母公司,ISO 14064,42.6513,母公司,ISO 14064,0.3968,百萬元營業額
1540,喬福,6.89,母公司,,無，無統計相關數據,,,117.99,母公司,,無，無統計相關數據,
1541,錩泰,1353,僅母公司,,3703,僅母公司,,無，無統計相關數據,,,0.0012,百萬元營業額
1558,伸興,1801,合併財務報表之母子公司,永續報告書                                                                                                                                                                                              ,14831,合併財務報表之母子公司,永續報告書                                                                                                                                                                                              ,75717,合併財務報表之母子公司,永續報告書                                                                                                                                                                                              ,0.0065,產品
1560,中砂,8235.6821,母公司,ISO 14064,35592.8388,母公司,ISO 14064,7034.7938,母公司,ISO 14064,8.44,營業額
1563,巧新,,,N/A,N/A,N/A,N/A,,,N/A,,
